order_id,customer_id,order_date,product_id,product_name,product_price,quantity
1,C100,2022-01-01,P001,Product A,20.99,3
2,C101,2022-01-02,P002,Product B,15.49,2
3,C102,2022-01-03,P003,Product C,30.00,1
4,C103,2022-01-04,P004,Product D,25.99,4
5,C104,2022-01-05,P005,Product E,10.00,2
6,C105,2022-02-01,P001,Product A,20.99,3
7,C106,2022-02-02,P002,Product B,15.49,2
8,C107,2022-02-03,P003,Product C,30.00,1
9,C108,2022-02-04,P004,Product D,25.99,4
10,C109,2022-02-05,P005,Product E,10.00,2
11,C110,2022-03-01,P001,Product A,20.99,3
12,C111,2022-03-02,P002,Product B,15.49,2
13,C112,2022-03-03,P003,Product C,30.00,1
14,C113,2022-03-04,P004,Product D,25.99,4
15,C114,2022-03-05,P005,Product E,10.00,2
16,C115,2022-04-01,P001,Product A,20.99,3
17,C116,2022-04-02,P002,Product B,15.49,2
18,C117,2022-04-03,P003,Product C,30.00,1
19,C118,2022-04-04,P004,Product D,25.99,4
20,C119,2022-04-05,P005,Product E,10.00,2
21,C120,2022-05-01,P001,Product A,20.99,3
22,C121,2022-05-02,P002,Product B,15.49,2
23,C122,2022-05-03,P003,Product C,30.00,1
24,C123,2022-05-04,P004,Product D,25.99,4
25,C124,2022-05-05,P005,Product E,10.00,2
26,C125,2022-06-01,P001,Product A,20.99,3
27,C126,2022-06-02,P002,Product B,15.49,2
28,C127,2022-06-03,P003,Product C,30.00,1
29,C128,2022-06-04,P004,Product D,25.99,4
30,C129,2022-06-05,P005,Product E,10.00,2
31,C130,2022-07-01,P001,Product A,20.99,3
32,C131,2022-07-02,P002,Product B,15.49,2
33,C132,2022-07-03,P003,Product C,30.00,1
34,C133,2022-07-04,P004,Product D,25.99,4
35,C134,2022-07-05,P005,Product E,10.00,2
36,C135,2022-08-01,P001,Product A,20.99,3
37,C136,2022-08-02,P002,Product B,15.49,2
38,C137,2022-08-03,P003,Product C,30.00,1
39,C138,2022-08-04,P004,Product D,25.99,4
40,C139,2022-08-05,P005,Product E,10.00,2
41,C140,2022-09-01,P001,Product A,20.99,3
42,C141,2022-09-02,P002,Product B,15.49,2
43,C142,2022-09-03,P003,Product C,30.00,1
44,C143,2022-09-04,P004,Product D,25.99,4
45,C144,2022-09-05,P005,Product E,10.00,2
46,C145,2022-10-01,P001,Product A,20.99,3
47,C146,2022-10-02,P002,Product B,15.49,2
48,C147,2022-10-03,P003,Product C,30.00,1
49,C148,2022-10-04,P004,Product D,25.99,4
50,C149,2022-10-05,P005,Product E,10.00,2
